customer_id,customer_name,invoice_number,invoice_date,due_date,open_balance,intercompany_flag
C001,Bramblewood Hardware,INV-9101,2026-08-14,2026-09-13,12450.00,N
C001,Bramblewood Hardware,INV-9118,2026-09-09,2026-10-09,3275.50,N
C002,Copperline Builders,INV-9104,2026-08-21,2026-09-20,8920.25,N
C002,Copperline Builders,CM-0412,2026-09-17,2026-09-17,-450.00,N
C003,Driftwood Cafe Group,INV-9109,2026-09-02,2026-10-02,1540.00,N
C003,Driftwood Cafe Group,INV-9122,2026-09-24,2026-10-24,2310.75,N
C004,Evergreen Property Management,INV-9112,2026-09-05,2026-10-05,15600.00,N
C005,Foxglove Landscaping,INV-9115,2026-09-08,2026-10-08,4088.40,N
C900,Fernhill Supply Canada Ltd,INV-9120,2026-09-15,2026-10-15,6500.00,Y
C006,Granite Peak Schools,INV-9125,2026-09-28,2026-10-28,9735.10,N
